,AREA,AUDIENCE,NAME,RANK,RATING,TAGS,URL,YEAR
891,['中国大陆'],1496,话说长江,892,8.7,"['纪录片', '中国', '话说长江', '地理', '经典', '1983', 'CCTV', '长江']",https://movie.douban.com/subject/1870407/,1983
892,['英国'],287,BBC 柏林 第一季 BBC Berlin Season 1,893,8.7,"['纪录片', 'BBC', '德国', '历史', '柏林', 'Berlin', '英国', 'Documentary']",https://movie.douban.com/subject/10430318/,2009
893,['中国大陆'],526,北纬30°·中国行,894,8.7,"['纪录片', '中国', '旅行', 'CCTV', '中国内地', '纪实', '不顾一切地行走', '2012']",https://movie.douban.com/subject/11625617/,2012
894,['中国大陆'],453,商战之电商风云,895,8.7,"['纪录片', '电子商务', '商业', '中国', '互联网', '金融', 'CCTV', '大陆']",https://movie.douban.com/subject/25880987/,2014
895,['中国大陆'],188,中国工厂,896,8.8,"['纪录片', '中国', '真实', '经济', '社会', '2017', '经典', '紀錄片']",https://movie.douban.com/subject/27077058/,2017
896,['美国'],27358,监守自盗 Inside Job,897,8.7,"['纪录片', '美国', '经济', '金融', '华尔街', '2010', '奥斯卡', '独立电影']",https://movie.douban.com/subject/4843480/,2010
897,['英国'],328,人脑漫游 Brain Story,898,8.7,"['纪录片', 'bbc', '大脑', '科普', '英国', '心理', '科学', '意识研究']",https://movie.douban.com/subject/2139356/,2000
898,['中国大陆'],1420,了不起的村落,899,8.7,"['纪录片', '村落', '人文', '中国大陆', '文化', '美景', '2017', '社会']",https://movie.douban.com/subject/27193571/,2017
899,['新西兰'],290,南极洲：冰上的一年 Antarctica: A Year on Ice,900,8.7,"['纪录片', '新西兰', '南极', '自然', '2013', 'Documentary', '纪录', '纪实']",https://movie.douban.com/subject/24531004/,2013
900,['英国'],191,爱尔兰的故事 BBC:The Story of Ireland,901,8.7,"['纪录片', 'BBC', '爱尔兰', '历史', '英国', '纪实', 'Documentary', '殖民']",https://movie.douban.com/subject/6905188/,2011
901,['日本'],299,HT~赤道の真下で、鍋をつつく~,902,8.7,"['三浦春马', '佐藤健', '日本', '纪录片', '日本电影', '2011', '青春', '记录片&综艺节目']",https://movie.douban.com/subject/11610933/,2011
902,['新西兰'],12157,时间的风景 TimeScapes,903,8.7,"['纪录片', '自然', '美国', '摄影', '唯美', '2012', '美国纪录片', '新西兰']",https://movie.douban.com/subject/10793719/,2012
903,"['法国', '中国大陆']",355,喜马拉雅大淘金 Hymalayan Gold Rush,904,8.7,"['纪录片', '冬虫夏草', '中国', '尼泊尔', '喜马拉雅', '法国', '喜马拉雅大淘金', 'Documentary']",https://movie.douban.com/subject/11610684/,2012
904,['英国'],217,解剖之美 The Beauty of Anatomy,905,8.7,"['纪录片', 'BBC', '英国', '医学', '解剖学', '解剖', '艺术', '2014']",https://movie.douban.com/subject/25955714/,2014
905,['日本'],414,点亮街道、饱含真心的西点 西点师横沟春雄 街を灯（とも）す、真心の洋菓子 洋菓子職人橫溝春雄,906,8.7,"['纪录片', '日本', '美食', 'NHK', '蛋糕蛋糕甜点甜点', '2014', '治愈系', 'Documentary']",https://movie.douban.com/subject/26344969/,2014
906,['英国'],658,肮脏的城市 Filthy Cities,907,8.7,"['纪录片', 'BBC', '英国', '城市', '历史', 'BBC纪录片', '城市规划', 'Documentary']",https://movie.douban.com/subject/6222445/,2011
907,['中国大陆'],165,世界著名大学,908,8.7,"['纪录片', '世界著名大学', '大学', '教育', 'CCTV', '留学', '旅行', '知识']",https://movie.douban.com/subject/10535637/,2003
908,"['法国', '加拿大']",3437,白色星球 La planète blanche,909,8.7,"['纪录片', '法国', '自然', '北极', '动物', '白色星球', '法国电影', '加拿大']",https://movie.douban.com/subject/1899767/,2006
909,['英国'],5461,冰峰168小时 Touching the Void,910,8.7,"['纪录片', '登山', '探险', '英国', '英国电影', '2003', '题材-纪实', '记录片']",https://movie.douban.com/subject/1310165/,2003
910,['日本'],5314,梦与狂想的王国 夢と狂気の王国,911,8.7,"['纪录片', '日本', '吉卜力', '2013', '动画', '宮崎駿', '记录片', 'Ghibli']",https://movie.douban.com/subject/24851523/,2013
911,['英国'],197,低地国家的高雅艺术 The High Art of the Low Countries,912,8.7,"['纪录片', 'BBC', '艺术', '英国', '荷兰', '比利时', '2013', 'Documentary']",https://movie.douban.com/subject/24380777/,2013
912,['韩国'],1848,牛铃之声 ????,913,8.7,"['纪录片', '韩国', '韩国电影', '李忠烈', '亲情', '紀錄片', '2008', '温情']",https://movie.douban.com/subject/3326761/,2008
913,['法国'],379,告别塔可夫斯基 Une journée d'Andrei Arsenevitch,914,8.7,"['纪录片', '塔可夫斯基', '法国', '安德烈.塔可夫斯基', 'AndreiTarkovsky', 'Chris_Marker', '法国电影', 'ChrisMarker']",https://movie.douban.com/subject/1431980/,2000
914,['法国'],155,混沌 Chaos,915,9.1,"['纪录片', '数学', '科普', '混沌', 'chaos', '法国', '科学', 'Documentary']",https://movie.douban.com/subject/21339677/,2013
915,['英国'],679,薇薇安·迈尔：谁动了保姆的照片 Vivian Maier: Who Took Nanny's Pictures,916,8.7,"['纪录片', 'BBC', '摄影', '传记', '英国', '艺术', 'Documentary', '2013']",https://movie.douban.com/subject/24845151/,2013
916,['美国'],165,60年代的伯克利 Berkeley in the '60s,917,8.7,"['纪录片', '美国', ""60's"", 'Documentary', '政治', '伯克利', '美国电影', '民主']",https://movie.douban.com/subject/1302896/,1990
917,['日本'],343,上野树里神户秀,918,8.7,"['上野树里', '纪录片', '日本', '上野樹里', 'NHK', '2008', '2011', '青春若有張不老的臉']",https://movie.douban.com/subject/5401742/,2008
918,['日本'],2105,日本列岛 动物物语 日本列島 いきものたちの物語,919,8.7,"['纪录片', '日本', '动物', '自然', '2012', '动物物语', '日本列岛', 'Documentary']",https://movie.douban.com/subject/6791675/,2012
919,['香港'],152,华人移民史：渡东瀛 華人移民史- 渡東瀛,920,9.2,"['纪录片', '日本', '中国', '香港', '历史', '香港纪录片', 'RTHK', '移民']",https://movie.douban.com/subject/25819717/,2014
